dataset,method,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,logreg,0.9237729480967688,0.9237735849056604,0.975851839775442,0.971188475390156
5_hist_fig_ismale,pca,0.9192402127212544,0.919245283018868,0.974815171856504,0.985594237695078
5_hist_fig_ismale,knn,0.8052698060696033,0.8067924528301886,0.8733101933189474,0.8691476590636255
5_hist_fig_ismale,xgboost,0.8938134806929532,0.8938364779874214,0.9633406883171196,0.9647859143657465
5_hist_fig_ismale,mlp,0.9290289260111888,0.9290566037735848,0.977463421697776,0.9831932773109244
6_hist_fig_isamerican,logreg,0.9350900014966764,0.9350943396226415,0.9776226559153612,0.9879951980792318
6_hist_fig_isamerican,pca,0.9237733822860345,0.9237735849056604,0.9741906395595517,0.988795518207283
6_hist_fig_isamerican,knn,0.9129237246725064,0.9129559748427672,0.9690965369468952,0.9819927971188476
6_hist_fig_isamerican,xgboost,0.92477573227406,0.9247798742138365,0.9779150494309592,0.97719087635054
6_hist_fig_isamerican,mlp,0.937355041258331,0.9373584905660376,0.9826556217020288,0.9811924769907964
7_hist_fig_ispolitician,logreg,0.6379725284130375,0.6379874213836478,0.6793502585720664,0.718687474989996
7_hist_fig_ispolitician,pca,0.6441271344990811,0.6442767295597485,0.6858568370464356,0.8047218887555022
7_hist_fig_ispolitician,knn,0.602024260057369,0.6135849056603774,0.6643645212999182,0.7663065226090435
7_hist_fig_ispolitician,xgboost,0.6641336831317742,0.6641509433962264,0.7090830083672646,0.7747098839535814
7_hist_fig_ispolitician,mlp,0.6378005269662396,0.6384905660377358,0.6864039040483465,0.7002801120448179
21_headline_istrump,logreg,0.9353101208155882,0.9353459119496856,0.9815951572545488,0.9935974389755902
21_headline_istrump,pca,0.9089149301819104,0.9089308176100628,0.9684888394281136,0.9847939175670268
21_headline_istrump,knn,0.5237433289844623,0.6,0.9198534184472716,0.9793917567026812
21_headline_istrump,xgboost,0.901621173636707,0.901635220125786,0.9599122161251352,0.9863945578231292
21_headline_istrump,mlp,0.9229998329906862,0.9230188679245284,0.9772029256566068,0.9791916766706682
22_headline_isobama,logreg,0.9397717766686016,0.9397781299524564,0.9826200522403054,0.9863945578231292
22_headline_isobama,pca,0.8906299851495948,0.8906497622820919,0.9566405465139642,0.9647859143657462
22_headline_isobama,knn,0.6308040104143288,0.6703645007923931,0.8985483222824995,0.9327731092436976
22_headline_isobama,xgboost,0.9017383288215,0.901743264659271,0.9672493469961824,0.9819927971188476
22_headline_isobama,mlp,0.9286846275752774,0.9286846275752774,0.973156519991963,0.9811924769907964
23_headline_ischina,logreg,0.9531811375623556,0.9531812725090036,0.9884534679948348,0.9871175523349436
23_headline_ischina,pca,0.9495789599635324,0.9495798319327732,0.9814840435344032,0.9758454106280192
23_headline_ischina,knn,0.4708606131528241,0.5678271308523409,0.8909997002398081,0.8307165861513688
23_headline_ischina,xgboost,0.9171632853051,0.9171668667466988,0.9692515218594356,0.9822866344605476
23_headline_ischina,mlp,0.9363679472437554,0.936374549819928,0.9818183914406936,0.9867149758454106
24_headline_isiran,logreg,0.9366189173154088,0.9366391184573004,0.9843057494991198,0.9915966386554622
24_headline_isiran,pca,0.9062065529570366,0.90633608815427,0.9612652540829336,0.9859943977591036
24_headline_isiran,knn,0.6290827437954127,0.6666666666666666,0.8683747192034484,0.8779511804721889
24_headline_isiran,xgboost,0.8979864715024299,0.8980716253443526,0.9638759031024224,0.9571828731492598
24_headline_isiran,mlp,0.953168044077135,0.953168044077135,0.9818468823993688,0.9839935974389756
26_headline_isfrontpage,logreg,0.6685951864276289,0.6689308176100629,0.7372901222128948,0.7503001200480193
26_headline_isfrontpage,pca,0.6615593950055021,0.6616352201257861,0.722755759519371,0.7543017206882753
26_headline_isfrontpage,knn,0.6253639451990338,0.6254088050314466,0.6694319161066045,0.7478991596638657
26_headline_isfrontpage,xgboost,0.6669565702007904,0.6674213836477988,0.7330959840573384,0.777110844337735
26_headline_isfrontpage,mlp,0.656086438727406,0.6563522012578616,0.7204464836325452,0.7378951580632253
36_sciq_tf,logreg,0.7582163159648441,0.7582389937106918,0.8397926562900301,0.7631052420968387
36_sciq_tf,pca,0.7253447749493034,0.7255345911949685,0.8115023811717816,0.818327330932373
36_sciq_tf,knn,0.5750268847617722,0.5969811320754717,0.6752151054287477,0.6980792316926772
36_sciq_tf,xgboost,0.7635150979230535,0.7635220125786164,0.8421620563846086,0.8359343737494997
36_sciq_tf,mlp,0.7713207257713789,0.7713207547169811,0.8524134236723816,0.7671068427370948
41_truthqa_tf,logreg,0.7061707706868998,0.7070707070707071,0.7457142857142858,0.8779606583701325
41_truthqa_tf,pca,0.6153763494189025,0.6161616161616161,0.710204081632653,0.7771979124849457
41_truthqa_tf,knn,0.4179890285153443,0.4848484848484848,0.5397959183673469,0.7645523885989562
41_truthqa_tf,xgboost,0.7773231496635751,0.7777777777777778,0.8710204081632652,0.8988358089120835
41_truthqa_tf,mlp,0.7768207091422842,0.7777777777777778,0.8497959183673469,0.8887996788438378
42_temp_sense,logreg,0.8204475904255218,0.8206839032527106,0.8871285475792988,0.962157809983897
42_temp_sense,pca,0.7745799553775549,0.7748123436196831,0.8613439065108515,0.9472624798711756
42_temp_sense,knn,0.7499059282409797,0.7514595496246872,0.8319017807456872,0.9335748792270532
42_temp_sense,xgboost,0.8294522343773914,0.8298582151793161,0.9145158597662773,0.9714170692431564
42_temp_sense,mlp,0.8472925038897098,0.8473728106755629,0.9186254869226488,0.9794685990338164
44_phys_tf,logreg,0.5423867513199322,0.5423899371069182,0.5573643167510346,0.5986394557823129
44_phys_tf,pca,0.5119487588919679,0.5119496855345912,0.5113466404871099,0.6142456982793117
44_phys_tf,knn,0.5154657024114961,0.5232704402515723,0.5250701491282876,0.548219287715086
44_phys_tf,xgboost,0.5306160998368017,0.5310691823899371,0.5644621376978529,0.6602641056422569
44_phys_tf,mlp,0.5519452618813457,0.5519496855345912,0.5736968362768458,0.5658263305322129
47_reasoning_tf,logreg,0.540953960750264,0.5409934171154998,0.5028478927312838,0.5796868727418708
47_reasoning_tf,pca,0.5122205872487305,0.5122681029323758,0.5014282439904879,0.5885186672019269
47_reasoning_tf,knn,0.497562204117964,0.5050867743865949,0.5060481906999399,0.5230830991569652
47_reasoning_tf,xgboost,0.5421784999741928,0.5421903052064632,0.5924218548548835,0.6844640706543558
47_reasoning_tf,mlp,0.5283997441544495,0.528426092160383,0.5348952812079191,0.5495784825371337
