dataset,sae_wins,baseline_wins,total,sae_win_rate
26_headline_isfrontpage,18,1,19,94.7%
7_hist_fig_ispolitician,18,1,19,94.7%
50_deon_isvalid,1,18,19,5.3%
56_wikidatasex_or_gender,1,18,19,5.3%
57_wikidatais_alive,1,18,19,5.3%
47_reasoning_tf,9,10,19,47.4%
41_truthqa_tf,8,11,19,42.1%
63_wikidata_occupation_issinger,7,12,19,36.8%
22_headline_isobama,6,13,19,31.6%
61_wikidata_occupation_isactor,6,13,19,31.6%
44_phys_tf,5,14,19,26.3%
59_wikidata_occupation_isjournalist,5,14,19,26.3%
24_headline_isiran,4,15,19,21.1%
60_wikidata_occupation_isathlete,4,15,19,21.1%
64_wikidata_occupation_isresearcher,4,15,19,21.1%
6_hist_fig_isamerican,4,15,19,21.1%
23_headline_ischina,3,16,19,15.8%
42_temp_sense,3,16,19,15.8%
21_headline_istrump,2,17,19,10.5%
48_cm_correct,2,17,19,10.5%
49_cm_isshort,2,17,19,10.5%
54_cs_tf,2,17,19,10.5%
62_wikidata_occupation_ispolitician,2,17,19,10.5%
36_sciq_tf,0,19,19,0.0%
51_just_is,0,19,19,0.0%
52_virtue_is,0,19,19,0.0%
58_wikidatapolitical_party,0,19,19,0.0%
5_hist_fig_ismale,0,19,19,0.0%
