dataset,sae_wins,baseline_wins,total,sae_win_rate
7_hist_fig_ispolitician,16,4,20,80.0%
26_headline_isfrontpage,15,5,20,75.0%
47_reasoning_tf,14,6,20,70.0%
54_cs_tf,11,9,20,55.0%
58_wikidatapolitical_party,9,11,20,45.0%
61_wikidata_occupation_isactor,9,11,20,45.0%
41_truthqa_tf,8,10,18,44.4%
23_headline_ischina,8,12,20,40.0%
44_phys_tf,8,12,20,40.0%
48_cm_correct,8,12,20,40.0%
50_deon_isvalid,8,12,20,40.0%
60_wikidata_occupation_isathlete,8,12,20,40.0%
22_headline_isobama,7,13,20,35.0%
24_headline_isiran,7,13,20,35.0%
42_temp_sense,7,13,20,35.0%
56_wikidatasex_or_gender,7,13,20,35.0%
59_wikidata_occupation_isjournalist,7,13,20,35.0%
62_wikidata_occupation_ispolitician,7,13,20,35.0%
63_wikidata_occupation_issinger,6,14,20,30.0%
51_just_is,5,15,20,25.0%
52_virtue_is,4,16,20,20.0%
5_hist_fig_ismale,4,16,20,20.0%
36_sciq_tf,3,17,20,15.0%
64_wikidata_occupation_isresearcher,3,17,20,15.0%
21_headline_istrump,2,18,20,10.0%
6_hist_fig_isamerican,2,18,20,10.0%
49_cm_isshort,0,20,20,0.0%
57_wikidatais_alive,0,20,20,0.0%
