dataset,layer,sno_sae,sno_logreg,sno_raw,jss_sae,jss_logreg,jss_raw,auc_sae,auc_logreg,auc_raw,sno_sae_vs_logreg,jss_sae_vs_logreg
117_us_state_FL,24,0.4953271028037383,0.8181818181818182,0.4953271028037383,0.5426856082303708,0.7884022988381085,0.7757521449998908,0.873469387755102,0.9118367346938776,0.9383673469387755,0.3228547153780799,-0.2457166906077377
118_us_state_CA,24,0.6842105263157895,0.8390804597701149,0.5238095238095238,0.4887679444802213,0.7800115217836177,0.7624479610133327,0.9093877551020408,0.9571428571428571,0.9591836734693877,0.15486993345432543,-0.29124357730339634
119_us_state_TX,24,0.6494845360824743,0.7391304347826086,0.5094339622641509,0.48340479827848964,0.7821101089793301,0.7581528486786736,0.8473469387755102,0.9804081632653061,0.9857142857142858,0.0896458987001344,-0.29870531070084044
129_arith_mc_A,24,0.7204301075268817,0.9512195121951219,0.8604651162790697,0.45290735705450336,0.6232437231289952,0.623916876826553,0.771831242044008,0.8480450991089289,0.944353518821604,0.23078940466824016,-0.17033636607449187
130_temp_cat_Frequency,24,0.6,0.7582417582417582,0.4953271028037383,0.5528265874490432,0.9036249950863595,0.889275527952664,1.0,1.0,1.0,0.15824175824175823,-0.3507984076373163
131_temp_cat_Typical Time,24,0.5384615384615384,0.7021276595744681,0.48148148148148145,0.5815936233424394,0.9149672847451484,0.8979471095465973,1.0,1.0,1.0,0.16366612111292966,-0.3333736614027091
132_temp_cat_Event Ordering,24,0.5094339622641509,0.7204301075268817,0.36752136752136755,0.5204097744615367,0.9106925542249027,0.9010174829171558,1.0,1.0,1.0,0.2109961452627308,-0.390282779763366
133_context_type_Causality,24,0.6,0.8823529411764706,0.5686274509803921,0.4391516499882626,0.7265333497785373,0.7175328374950259,0.9134797724399495,0.9584386852085967,0.9693426042983565,0.2823529411764706,-0.2873816997902747
134_context_type_Belief_states,24,0.7391304347826086,0.8604651162790697,0.48148148148148145,0.4644152717186223,0.7358027356390586,0.7298626965547997,0.9147439949431099,0.9593078381795196,0.9827749683944375,0.1213346814964611,-0.27138746392043633
135_context_type_Event_duration,24,0.7391304347826086,0.8390804597701149,0.40350877192982454,0.4529873010031574,0.7357126526443851,0.7271612181952964,0.9703697850821745,0.9895701643489253,0.9990518331226296,0.09995002498750627,-0.2827253516412277
