rep,n_dims,stitch_accuracy,stitch_accuracy_vs_chance,per_class_acc_mean,per_class_acc_std
standard_new,13959,0.15625,0.14583333333333334,0.15625,0.15819106821341083
p_anneal,13696,0.14388020833333334,0.13346354166666669,0.14388020833333334,0.14181205918088652
standard,13697,0.14322916666666666,0.1328125,0.14322916666666666,0.14296851282615422
raw,2560,0.14290364583333334,0.13248697916666669,0.14290364583333334,0.14311629963453815
jumprelu_32,4245,0.138671875,0.12825520833333334,0.138671875,0.153677554546799
gated,5623,0.13704427083333334,0.12662760416666669,0.13704427083333334,0.15084194264157758
logreg,100,0.0791015625,0.06868489583333333,0.0791015625,0.18503991186209962
matryoshka_batch_topk_32,64,0.0673828125,0.056966145833333336,0.0673828125,0.1887074902224291
topk_32,55,0.059244791666666664,0.048828125,0.059244791666666664,0.17892041693969213
batch_topk_32,63,0.0517578125,0.041341145833333336,0.0517578125,0.16355502647047113
