test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize,num_train
0.6375701275211417,0.6375755051031036,0.6906179716784673,0.8210526315789475,16,51_just_is,24,layer_24/width_16k/jumprelu_32,l1,False,198
0.6883749693824113,0.6883982503645074,0.7597782174094128,0.8342105263157894,128,51_just_is,24,layer_24/width_16k/jumprelu_32,l1,False,198
0.5054408460358129,0.5060072086503804,0.5150993366649511,1.0,16,7_hist_fig_ispolitician,24,layer_24/width_16k/jumprelu_32,l1,False,5
0.5188416621038786,0.5484581497797357,0.5834831994629037,1.0,128,7_hist_fig_ispolitician,24,layer_24/width_16k/jumprelu_32,l1,False,5
0.5315676457012647,0.5346831646044244,0.5356367202745215,0.8472222222222222,16,47_reasoning_tf,24,layer_24/width_16k/standard,l1,False,28
0.49374852762784455,0.49681289838770154,0.5019530744755154,0.9722222222222223,128,47_reasoning_tf,24,layer_24/width_16k/standard,l1,False,28
0.5227400941462121,0.5286144578313253,0.5548358090998532,0.9166666666666666,16,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/standard,l1,False,7
0.48810938249420727,0.5225903614457831,0.5818202528991467,1.0,128,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/standard,l1,False,7
0.4203763972973731,0.4567480977172607,0.45595042445006895,0.5,16,44_phys_tf,24,layer_24/width_16k/batch_topk_32,l1,False,5
0.3333333333333333,0.5,0.5,0.5,128,44_phys_tf,24,layer_24/width_16k/batch_topk_32,l1,False,5
0.6270150716252159,0.6270491803278688,0.6372689539848906,0.8958333333333334,16,41_truthqa_tf,24,layer_24/width_16k/jumprelu_32,l1,False,53
0.6612882377074518,0.662568306010929,0.7234241094090597,0.9416666666666668,128,41_truthqa_tf,24,layer_24/width_16k/jumprelu_32,l1,False,53
0.5017995388642845,0.5018573551263001,0.5010713599703265,1.0,16,47_reasoning_tf,24,layer_24/width_16k/standard,l1,False,3
